Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,5,20,3,2241.17,2204.47,2240.28,0.647429690742%,0.679982036499%,1.730587248023%,14.51,14.99,38.77,2,Behall
2021,5,19,2,2226.66,2189.48,2201.51,-1.241321081800%,-2.293238577196%,-2.188043660942%,-27.64,-50.21,-48.17,1,Kop
2021,5,18,1,2254.3,2239.69,2249.68,0.031495364415%,0.875567600873%,0.857010774866%,0.71,19.61,19.28,-1,Salj
2021,5,17,0,2253.59,2220.08,2230.4,0.215655909016%,0.347735216749%,-0.783715925395%,4.86,7.72,-17.48,1,Kop
2021,5,14,4,2248.73,2212.36,2247.88,1.469273767860%,0.945596557522%,1.872430912682%,33.04,20.92,42.09,-1,Salj
2021,5,12,2,2215.69,2191.44,2205.79,-1.531802734137%,0.133702040667%,0.545382833361%,-33.94,2.93,12.03,2,Behall
2021,5,11,1,2249.63,2188.51,2193.76,-0.835692980623%,-2.721029376151%,-3.247848442856%,-18.8,-59.55,-71.25,1,Kop
2021,5,10,0,2268.43,2248.06,2265.01,-0.044524186332%,0.027579335071%,0.215451587410%,-1.01,0.62,4.88,-1,Salj
2021,5,7,4,2269.44,2247.44,2260.13,0.556965595037%,0.893905955220%,0.598195679010%,12.64,20.09,13.52,2,Behall
2021,5,6,3,2256.8,2227.35,2246.61,0.056274370790%,0.611937953173%,-0.395262195041%,1.27,13.63,-8.88,1,Kop
2021,5,5,2,2255.53,2213.72,2255.49,0.702273966651%,1.004643767053%,2.700521837827%,15.84,22.24,60.91,-1,Salj
2021,5,4,1,2239.69,2191.48,2194.58,0.057150766401%,-0.924033073539%,-1.686427471316%,1.28,-20.25,-37.01,1,Kop
2021,5,3,0,2238.41,2211.73,2231.59,-0.210417215792%,-0.239179284994%,0.652897709705%,-4.71,-5.29,14.57,-1,Salj
2021,4,30,4,2243.12,2217.02,2217.02,-0.637059096259%,-0.622908228162%,-0.713570468467%,-14.29,-13.81,-15.82,1,Kop
2021,4,29,3,2257.41,2230.83,2232.84,-0.390270265481%,0.343369956474%,-0.287078339693%,-8.81,7.66,-6.41,-3,Behall
2021,4,28,2,2266.22,2223.17,2239.25,0.149147037799%,-0.647273937666%,-1.053477726918%,3.38,-14.39,-23.59,-2,Behall
2021,4,27,1,2262.84,2237.56,2262.84,0.669954570363%,0.133180786214%,0.816672853582%,15.16,2.98,18.48,-1,Salj
2021,4,26,0,2247.68,2234.58,2244.36,0.295860620729%,0.620250785382%,0.151936409489%,6.65,13.86,3.41,5,Behall
2021,4,23,4,2241.03,2220.72,2240.95,-0.014279148427%,-0.076551748982%,0.380642138379%,-0.32,-1.7,8.53,4,Behall
2021,4,22,3,2241.35,2222.42,2232.42,0.521560666563%,0.528702945438%,0.185001030272%,11.69,11.75,4.13,3,Behall
2021,4,21,2,2229.66,2210.67,2228.29,-1.429365912292%,0.597556396929%,1.053722809868%,-31.87,13.21,23.48,2,Behall
2021,4,20,1,2261.53,2197.46,2204.81,-1.030718142143%,-2.679912262339%,-2.394310620870%,-23.31,-58.89,-52.79,1,Kop
2021,4,19,0,2284.84,2256.35,2257.6,0.189947654978%,0.806612449310%,-1.014351523742%,4.34,18.2,-22.9,-2,Behall
2021,4,16,4,2280.5,2238.15,2280.5,1.511072133304%,0.264057368809%,1.645253233940%,34.46,5.91,37.52,-1,Salj
2021,4,15,3,2246.04,2232.24,2242.98,0.000000000000%,0.390638999391%,0.660728138459%,0,8.72,14.82,2,Behall
2021,4,14,2,2246.04,2223.52,2228.16,-0.187441007284%,-0.338652227099%,-0.854965532098%,-4.21,-7.53,-19.05,1,Kop
2021,4,13,1,2250.25,2231.05,2247.21,0.169758915676%,-0.025548508550%,0.510855683269%,3.82,-0.57,11.48,-1,Salj
2021,4,12,0,2246.43,2231.62,2235.73,-0.176724847870%,-0.232566476371%,-0.656161522187%,-3.97,-5.19,-14.67,1,Kop
2021,4,9,4,2250.4,2236.81,2250.4,0.121756132243%,0.029953371095%,0.444365446143%,2.74,0.67,10,-1,Salj
2021,4,8,3,2247.66,2236.14,2240.4,0.660687114599%,0.663196400941%,0.483842171041%,14.85,14.83,10.84,2,Behall
2021,4,7,2,2232.81,2221.31,2229.56,0.113758000009%,0.213387595608%,-0.030947810330%,2.54,4.74,-0.69,1,Kop
2021,4,6,1,2230.27,2216.57,2230.25,1.012881848386%,1.196894300654%,1.239322945858%,22.59,26.53,27.64,-1,Salj
2021,4,1,3,2207.68,2190.04,2202.61,0.281743730975%,0.059816259064%,0.442656666409%,6.22,1.31,9.75,2,Behall
2021,3,31,2,2201.46,2188.73,2192.86,-0.182606088687%,0.155341225277%,-0.572311957900%,-4.02,3.4,-12.55,1,Kop
2021,3,30,1,2205.48,2185.33,2205.41,0.230335346501%,0.230628783753%,1.051958592733%,5.08,5.04,23.2,-1,Salj
2021,3,29,0,2200.4,2180.29,2182.21,0.072714051991%,0.139889647707%,-0.760238473841%,1.6,3.05,-16.59,1,Kop
2021,3,26,4,2198.8,2177.24,2198.8,0.663088957613%,1.136301004942%,1.162452246680%,14.58,24.74,25.56,-1,Salj
2021,3,25,3,2184.22,2152.5,2173.24,-0.066843083572%,-0.039953542393%,-0.522721834680%,-1.46,-0.86,-11.36,1,Kop
2021,3,24,2,2185.68,2153.36,2184.6,0.503275868380%,0.132351302151%,0.754371509659%,11,2.85,16.48,-1,Salj
2021,3,23,1,2174.68,2150.51,2168.12,-0.187153972079%,-0.022320286816%,-0.300260133203%,-4.07,-0.48,-6.51,1,Kop
2021,3,22,0,2178.75,2150.99,2174.63,-0.131726907631%,-0.359369406645%,0.250617346399%,-2.87,-7.73,5.45,-1,Salj
2021,3,19,4,2181.62,2158.72,2169.18,-0.261273732364%,-0.522995108212%,-0.498344996727%,-5.7,-11.29,-10.81,1,Kop
2021,3,18,3,2187.32,2170.01,2179.99,0.341970996471%,0.147464758227%,0.327065720485%,7.48,3.2,7.13,-1,Salj
2021,3,17,2,2179.84,2166.81,2172.86,-0.211942160893%,-0.254290869989%,-0.335042294487%,-4.62,-5.51,-7.28,1,Kop
2021,3,16,1,2184.46,2172.32,2180.14,-0.163427116999%,0.626979450541%,0.839854321282%,-3.57,13.62,18.31,-1,Salj
2021,3,15,0,2188.03,2158.7,2161.83,0.871560261971%,0.292768796035%,-0.329813167548%,19.07,6.32,-7.13,1,Kop
2021,3,12,4,2168.96,2152.38,2168.96,0.085755385069%,0.568208216021%,0.152146650929%,1.86,12.23,3.3,-1,Salj
2021,3,11,3,2167.1,2140.15,2165.66,1.340039684371%,1.245239819639%,1.440669357147%,29.04,26.65,31.2,5,Behall
2021,3,10,2,2138.06,2113.5,2134.46,0.605689269712%,0.703572273480%,0.450230971768%,12.95,14.87,9.61,4,Behall
2021,3,9,1,2125.11,2098.63,2124.85,0.879013321663%,1.999399608316%,1.023601666000%,18.68,41.96,21.75,3,Behall
2021,3,8,0,2106.43,2056.67,2103.1,1.795454869139%,0.701619608396%,2.592839142219%,37.82,14.43,54.53,2,Behall
2021,3,5,4,2068.61,2042.24,2048.57,-0.274580515419%,-0.610114384206%,-0.809345055331%,-5.68,-12.46,-16.58,1,Kop
2021,3,4,3,2074.29,2054.7,2065.15,-0.378924836932%,-0.119725507373%,-0.417887320534%,-7.86,-2.46,-8.63,-2,Behall
2021,3,3,2,2082.15,2057.16,2073.78,0.351079413107%,0.349997083358%,0.322117100175%,7.31,7.2,6.68,-1,Salj
2021,3,2,1,2074.84,2049.96,2067.1,0.967303502921%,0.986360709477%,0.601325528518%,20.07,20.22,12.43,3,Behall
